epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,,,,
1,2.0071,1.3015,1.19,0.77955,0.6049,0.65526,0.27522,2.0302,1.0784,1.1431,0.00036,0.00036,0.00036,,0.6549,0.70526,0.32522
2,2.0057,1.2607,1.1883,0.57921,0.50538,0.52859,0.22997,2.0591,1.3277,1.179,0.0007107,0.0007107,0.0007107,,0.55538,0.57859,0.27997
3,1.9622,1.2316,1.2097,0.63467,0.59462,0.61152,0.26801,2.0721,1.4,1.1683,0.0010313,0.0010313,0.0010313,,0.64462,0.66152,0.31801
4,2.0109,1.2318,1.2111,0.30971,0.29,0.1177,0.07545,2.1174,3.3758,1.1611,0.0013218,0.0013218,0.0013218,,0.34,0.1677,0.12545
5,2.0324,1.2077,1.2111,0.40622,0.45,0.33916,0.14991,2.0687,2.1501,1.1943,0.0015822,0.0015822,0.0015822,,0.5,0.38916,0.19991
6,2.0136,1.1556,1.2489,0.01606,0.30231,0.08322,0.06197,2.099,4.2183,1.2034,0.001604,0.001604,0.001604,,0.35231,0.13322,0.11197
7,2.0391,1.1716,1.233,0.49463,0.45308,0.4427,0.19897,2.0408,1.7331,1.1602,0.0015248,0.0015248,0.0015248,,0.50308,0.4927,0.24897
8,2.0294,1.1194,1.2287,0.60281,0.60077,0.56769,0.25245,1.8971,1.3031,1.1267,0.0014456,0.0014456,0.0014456,,0.65077,0.61769,0.30245
9,1.9954,1.0899,1.2248,0.62591,0.59769,0.54249,0.2112,2.276,1.3651,1.2861,0.0013664,0.0013664,0.0013664,,0.64769,0.59249,0.2612
10,1.961,1.0616,1.2065,0.68515,0.64385,0.66217,0.28509,2.0186,1.2869,1.163,0.0012872,0.0012872,0.0012872,,0.69385,0.71217,0.33509
11,1.9391,1.043,1.1964,0.73102,0.59462,0.65511,0.29371,1.9565,1.2104,1.1256,0.001208,0.001208,0.001208,,0.64462,0.70511,0.34371
12,1.9583,1.016,1.2216,0.7976,0.54979,0.52177,0.22109,2.1363,1.4611,1.1751,0.0011288,0.0011288,0.0011288,,0.59979,0.57177,0.27109
13,1.9419,1.01,1.1898,0.77267,0.68077,0.73289,0.31482,1.9408,1.0368,1.1241,0.0010496,0.0010496,0.0010496,,0.73077,0.78289,0.36482
14,1.9236,1.002,1.181,0.73697,0.68385,0.74254,0.32601,1.9896,0.98408,1.1335,0.0009704,0.0009704,0.0009704,,0.73385,0.79254,0.37601
15,1.9466,0.99452,1.1874,0.78225,0.69796,0.70739,0.29379,1.998,1.0127,1.1617,0.0008912,0.0008912,0.0008912,,0.74796,0.75739,0.34379
16,1.953,0.98371,1.2073,0.80357,0.72385,0.74177,0.33636,1.8957,0.92321,1.1063,0.000812,0.000812,0.000812,,0.77385,0.79177,0.38636
17,1.8808,0.96283,1.1846,0.77834,0.70538,0.7407,0.34215,1.9434,0.9839,1.1216,0.0007328,0.0007328,0.0007328,,0.75538,0.7907,0.39215
18,1.8922,0.96855,1.2087,0.86983,0.68692,0.77975,0.34701,1.9668,0.94462,1.1334,0.0006536,0.0006536,0.0006536,,0.73692,0.82975,0.39701
19,1.8668,0.94687,1.1811,0.82673,0.74846,0.77199,0.36537,1.8877,0.89553,1.0993,0.0005744,0.0005744,0.0005744,,0.79846,0.82199,0.41537
20,1.849,0.90742,1.1682,0.82603,0.69308,0.75329,0.34245,1.8989,0.91037,1.1206,0.0004952,0.0004952,0.0004952,,0.74308,0.80329,0.39245
21,1.8046,0.9021,1.1592,0.85207,0.72692,0.77638,0.3654,1.8631,0.9103,1.0971,0.000416,0.000416,0.000416,,0.77692,0.82638,0.4154
22,1.7914,0.85785,1.1596,0.82856,0.72385,0.7719,0.35504,1.899,0.85869,1.1047,0.0003368,0.0003368,0.0003368,,0.77385,0.8219,0.40504
23,1.774,0.84942,1.1388,0.81103,0.74572,0.79087,0.37219,1.9121,0.86354,1.1161,0.0002576,0.0002576,0.0002576,,0.79572,0.84087,0.42219
24,1.7446,0.84555,1.1356,0.85524,0.71151,0.77161,0.3592,1.9294,0.88432,1.1313,0.0001784,0.0001784,0.0001784,,0.76151,0.82161,0.4092
25,1.7299,0.8327,1.1161,0.85233,0.73308,0.76215,0.35465,1.9137,0.87441,1.1226,9.92E-05,9.92E-05,9.92E-05,,0.78308,0.81215,0.40465
