                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5278,                 5.3158,                 1.4415,                0.00304,                0.34462,                0.00252,                0.00085,                 2.2445,                 4.5196,                 1.1427,                 0.0003,                 0.0003,                 0.0003
                      2,                 2.1692,                 3.4752,                 1.1068,                  8e-05,                0.00923,                  4e-05,                  2e-05,                 2.3786,                 5.1894,                 1.4277,             0.00059954,             0.00059954,             0.00059954
                      3,                 2.0875,                 2.4307,                 1.1517,                0.00138,                0.15692,                0.00093,                0.00034,                 2.1388,                 4.5769,                 1.2818,             0.00087796,             0.00087796,             0.00087796
                      4,                 2.1117,                 1.9753,                 1.1885,                0.00179,                0.20308,                0.00117,                0.00041,                 2.1845,                 4.5107,                 1.2409,              0.0011353,              0.0011353,              0.0011353
                      5,                 2.1193,                 1.7851,                 1.2093,                0.00228,                0.25846,                0.00167,                0.00067,                 2.2521,                 3.8404,                 1.3277,              0.0013714,              0.0013714,              0.0013714
                      6,                 2.0819,                 1.7489,                 1.2235,                0.01491,                0.69231,                0.34641,                0.13106,                 2.0865,                 2.7121,                  1.232,              0.0015865,              0.0015865,              0.0015865
                      7,                 2.0505,                 1.4146,                 1.1966,                0.46672,                0.11311,                0.26781,                0.08961,                 2.0896,                 2.5427,                 1.1901,               0.001604,               0.001604,               0.001604
                      8,                 2.0627,                 1.3099,                 1.1758,                0.62543,                0.46752,                 0.4739,                0.16985,                  2.167,                 1.8337,                 1.3126,               0.001538,               0.001538,               0.001538
                      9,                 2.0262,                 1.2279,                 1.1875,                0.31522,                0.45182,                0.24187,                0.08626,                 2.0565,                 1.9367,                 1.1262,               0.001472,               0.001472,               0.001472
                     10,                 2.0083,                 1.1984,                 1.1718,                 0.6483,                    0.4,                0.41323,                0.12016,                 2.3024,                 1.8383,                 1.3111,               0.001406,               0.001406,               0.001406
                     11,                 2.0476,                 1.1654,                 1.1932,                0.67508,                0.54462,                0.57691,                0.21425,                 2.0174,                 1.3248,                 1.1541,                0.00134,                0.00134,                0.00134
                     12,                  1.957,                 1.1455,                 1.1621,                0.65966,                0.61428,                0.59845,                0.23379,                   2.03,                 1.3043,                 1.1817,               0.001274,               0.001274,               0.001274
                     13,                 1.9589,                  1.094,                 1.1787,                0.75305,                0.54419,                0.58723,                 0.2295,                 1.9936,                  1.441,                 1.1716,               0.001208,               0.001208,               0.001208
                     14,                 1.9458,                 1.0723,                 1.1546,                0.54052,                0.56615,                0.50871,                0.19514,                 2.1226,                  1.362,                 1.1979,               0.001142,               0.001142,               0.001142
                     15,                 1.8942,                 1.0446,                 1.1494,                0.72381,                0.60615,                0.62489,                0.24807,                 2.0396,                 1.0353,                 1.1884,               0.001076,               0.001076,               0.001076
                     16,                 1.9421,                 1.0411,                  1.133,                0.79107,                0.65846,                0.71013,                0.28555,                 1.9493,                 1.0072,                 1.1317,                0.00101,                0.00101,                0.00101
                     17,                  1.918,                 1.0326,                 1.1342,                0.77899,                0.69231,                0.69394,                0.26653,                 1.9754,                0.99405,                  1.159,               0.000944,               0.000944,               0.000944
                     18,                 1.8703,                 1.0059,                 1.1223,                0.75549,                0.64649,                0.68776,                0.26859,                 2.0181,                0.98903,                 1.1447,               0.000878,               0.000878,               0.000878
                     19,                  1.908,                 1.0111,                 1.1319,                0.77902,                0.65084,                0.68647,                0.27026,                 1.9983,                 1.0133,                 1.1402,               0.000812,               0.000812,               0.000812
                     20,                 1.8963,                0.97134,                 1.1215,                0.73006,                0.62413,                0.61075,                0.22054,                 2.1851,                0.97861,                 1.2288,               0.000746,               0.000746,               0.000746
                     21,                 1.8693,                0.94609,                 1.1307,                0.75128,                0.59692,                 0.6654,                0.26156,                 2.0355,                0.99636,                 1.1699,                0.00068,                0.00068,                0.00068
                     22,                 1.8831,                0.95578,                 1.1405,                0.77189,                0.65231,                  0.693,                 0.2744,                 2.0496,                0.98463,                 1.1538,               0.000614,               0.000614,               0.000614
                     23,                 1.8684,                0.94769,                 1.1283,                0.74847,                0.66462,                0.71109,                0.29099,                 1.9828,                0.95681,                 1.1465,               0.000548,               0.000548,               0.000548
                     24,                 1.8193,                0.92008,                 1.1195,                0.74753,                0.69238,                0.71102,                0.29125,                 1.9692,                0.96915,                 1.1092,               0.000482,               0.000482,               0.000482
                     25,                 1.8089,                0.93251,                 1.1053,                0.76557,                0.69334,                0.70485,                0.27577,                 1.9999,                0.98959,                 1.1197,               0.000416,               0.000416,               0.000416
                     26,                 1.7792,                 0.9015,                 1.0971,                0.74762,                0.69272,                0.71384,                 0.2894,                 1.9414,                0.91993,                 1.1115,                0.00035,                0.00035,                0.00035
                     27,                 1.7749,                 0.8915,                 1.0965,                0.81775,                0.70412,                0.76223,                0.31557,                 1.9232,                0.89255,                 1.1106,               0.000284,               0.000284,               0.000284
                     28,                 1.7229,                0.85785,                 1.0703,                0.73921,                0.66769,                0.70151,                0.28118,                 2.0078,                 0.9123,                 1.1275,               0.000218,               0.000218,               0.000218
                     29,                  1.748,                0.83596,                 1.0839,                0.77761,                0.68615,                0.73691,                0.31383,                 1.9194,                0.89633,                 1.0985,               0.000152,               0.000152,               0.000152
                     30,                 1.7472,                0.83666,                  1.067,                0.79172,                0.71348,                 0.7564,                0.31253,                 1.9103,                0.89112,                 1.0961,                8.6e-05,                8.6e-05,                8.6e-05
